"";"hashed_id";"profession_declaree";"profession_recode"
"1480";3242;"Cadre";NA
"1481";4269;"Vendangeuse";"Vendangeuse"
"1482";714;"Vendeuse en alimentation";"Vendeuse en alimentation"
"1483";98;"Pharmacien d'officine";"Pharmacien d'officine"
"1484";65;"Enseignant certifié dans le supérieur (université, école)";"Enseignant certifié dans le supérieur (université, école)"
"1485";4256;"Professeure certifiée en lycée";"Professeure certifiée en lycée"
"1486";2636;"Professeur d'activités physiques adaptées";"Professeur d'activités physiques adaptées"
"1487";6342;"Conseiller de vente";"Conseiller de vente en immobilier"
"1488";7455;"Analyste économique";"Analyste économique"
"1489";4761;"Responsable sav";"Technicien service après vente (SAV) informatique"
"1490";6557;"Directeur recherche et développement (R&D) informatique";"Directeur recherche et développement (R&D) informatique"
"1491";9481;"Vendeuse conseil magasin beauté, culture, loisirs (VCM)";"Vendeuse conseil magasin beauté, culture, loisirs (VCM)"
"1492";6855;"Product manager";"Product manager"
"1493";9741;"Kinésithérapeute";"Kinésithérapeute"
"1494";2763;"Cadre dirigeant (50 salariés ou plus)";"Cadre dirigeant (50 salariés ou plus)"
"1495";4800;"Chef de cuisine";"Chef de cuisine"
"1496";6256;"Conseiller clientèle bancaire";"Conseiller clientèle bancaire"
"1497";8443;"Agriculteur éleveur bovins";"Agriculteur éleveur bovins"
"1498";1112;"Adjointe administrative (gestion)";"Adjointe administrative (gestion)"
"1499";4390;"Économiste de la construction";"Économiste de la construction"
"1500";9256;"Agent d'état civil";"Agent d'état civil"
"1501";10233;"Acheteur approvisionneur de l'industrie";"Acheteur approvisionneur de l'industrie"
"1502";4298;"Cadre administrative d'entreprise";"Cadre administrative d'entreprise"
"1503";8458;"Directeur d'agence de surveillance";"Directeur d'agence de surveillance"
"1504";122;"Gestionnaire de protefeuille";"Gestionnaire de portefeuille financier"
"1505";4048;"Agent de maintenance industrielle";"Agent de maintenance industrielle"
"1506";6949;"Coordinatrice logistique";"Coordinatrice logistique"
"1507";9781;"Formateur pour adulte";"Formateur pour adulte"
"1508";7880;"Chauffeur livreur";"Chauffeur-livreur (voiture)"
"1509";7;"Chargée ADV";"Chargé d'administration des ventes (ADV)"
"1510";5842;"fonctionnaire";NA
"1511";8201;"Enseignante (professeure des écoles)";"Enseignante (professeure des écoles)"
"1512";2200;"Photographe";"Photographe"
"1513";1118;"Chef de projet télécom";"Chef de projet télécom"
