"";"dz_name.x";"diff_raw";"factor_raw";"diff";"factor"
"52";"Leonard Bernstein";61;0,0342312008978676;-35;-0,0264606016733735
"53";"Saint-Preux";43;0,0167055167055167;18;0,00703308153164888
"54";"Wilhelm Furtwängler";2;0,00995024875621891;-14;-0,131826741996234
"55";"Frédéric Chopin";92;0,00902845927379784;41;0,00577489189684071
"56";"Michael Nyman";17;0,00676751592356688;6;0,00243872147768456
"57";"Antonín DVOŘÁK";3;0,00612244897959184;-9;-0,0381336696090794
"58";"Domenico Cimarosa";1;0,00606060606060606;-26;-0,313253012048193
"59";"Ludovico Einaudi";213;0,0046096911723332;93;0,00218990735279054
"60";"Sofiane Pamart";0;0;-2566;-0,0249859214816282
"61";"RIOPY";0;0;-17;-0,00100324579521983
"62";"Arthur Rubinstein";0;0;-74;-0,00537842814226183
"63";"Alexis Ffrench";0;0;-6;-0,000701057428287667
"64";"Alexandre Tharaud";0;0;-1885;-0,221986692574928
"65";"The Vivaldi Festival Ensemble";0;0;-3578;-0,499790473529823
"66";"Lang Lang";0;0;-789;-0,130668801236578
"67";"London Symphony Orchestra";0;0;-213;-0,0381169340093883
"68";"Berliner Philharmoniker";0;0;-365;-0,0683856188804689
"69";"Herbert von Karajan";0;0;-226;-0,0456388617290174
"70";"2CELLOS";0;0;-50;-0,010478885046631
"71";"Luciano Pavarotti";0;0;-33;-0,00823279194824972
"72";"Gautier Capuçon";0;0;-80;-0,0211168915935574
"73";"Maria Callas";0;0;-448;-0,118754262713871
"74";"Jordi Savall";0;0;-637;-0,17072971100954
"75";"Thibault Cauvin";0;0;-93;-0,0252169197396963
"76";"Glenn Gould";0;0;-1364;-0,375766202162584
"77";"Wiener Philharmoniker";0;0;-176;-0,048873386826657
"78";"Daniel Barenboim";0;0;-929;-0,262408287738509
"79";"KHATIA BUNIATISHVILI";0;0;-171;-0,0502867225408028
"80";"Renaud Capuçon";0;0;-541;-0,164736452126958
"81";"Joep Beving";0;0;-14;-0,00442711078317698
"82";"Philippe Jaroussky";0;0;-240;-0,0858913403278589
"83";"Yo-Yo Ma";0;0;-566;-0,206831027090236
"84";"John Eliot Gardiner";0;0;-447;-0,165108590006904
"85";"Olga Scheps";0;0;-525;-0,215782983970407
"86";"Olivia Belli";0;0;-7;-0,00288065843621399
"87";"Carlos Cipa";0;0;-162;-0,0724184175234689
"88";"Marc Minkowski";0;0;-961;-0,437698616666713
"89";"Vikingur Olafsson";0;0;-249;-0,116895659055446
"90";"Belle Chen";0;0;-435;-0,206161137440758
"91";"Royal Philharmonic Orchestra";0;0;-238;-0,122144045905437
"92";"Jakub Józef Orliński";0;0;-768;-0,400424060202644
"93";"Martha Argerich";0;0;-108;-0,0568460825893208
"94";"David Fray";0;0;-839;-0,446692399840277
"95";"Daniel Hope";0;0;-192;-0,103418756833185
"96";"Chloe Flower";0;0;-392;-0,228438228438228
"97";"London Philharmonic Orchestra";0;0;-58;-0,0345726541178156
